id,name,wholesalePrice,category,description,image,stock,unit,brand,size,price,wholesaleQuantity
45,Livelle Toilet Tissue 10x4s,1510,Cleaning Products,Soft toilet tissue - 10x4s,/images/products/livelle-tissue-10x4s.jpg,30,10x4s,Livelle,10x4s,1500,1
46,Poshy Roll Xtra Toilet Tissue Unwrapped 4x10s,1010,Cleaning Products,Extra toilet tissue unwrapped - 4x10s,/images/products/poshy-tissue-4x10s.jpg,35,4x10s,Poshy,4x10s,1000,1
47,Poshy Mega Tissue Jumbo Roll Wrapped 12x1s,2110,Cleaning Products,Jumbo roll wrapped tissue - 12x1s,/images/products/poshy-jumbo-12x1s.jpg,25,12x1s,Poshy,12x1s,2100,1
48,Celine Premium Serviettes Single Pack 9x100 Sheets,860,Cleaning Products,Premium serviettes - 9x100 Sheets,/images/products/celine-serviettes-9x100.jpg,40,9x100 Sheets,Celine,9x100 Sheets,850,1
49,Poshy Serviettes 9x100 Sheets,510,Cleaning Products,Quality serviettes - 9x100 Sheets,/images/products/poshy-serviettes-9x100.jpg,45,9x100 Sheets,Poshy,9x100 Sheets,500,1
50,Velvex White Plain Serviettes 12x100 Sheets,910,Cleaning Products,White plain serviettes - 12x100 Sheets,/images/products/velvex-serviettes-12x100.jpg,35,12x100 Sheets,Velvex,12x100 Sheets,900,1
51,Nuru Scouring Powder Lemon Fresh Bottle 24x500g,1210,Cleaning Products,Lemon fresh scouring powder - 24x500g,/images/products/nuru-powder-24x500g.jpg,30,24x500g,Nuru,24x500g,1200,1
52,Msafi White Bar Soap 12x700g,1510,Cleaning Products,White bar soap - 12x700g,/images/products/msafi-white-soap-12x700g.jpg,25,12x700g,Msafi,12x700g,1500,1
53,Nuru Dish Washing Paste Lemon Spark 6x800g,1510,Cleaning Products,Lemon spark dish washing paste - 6x800g,/images/products/nuru-paste-6x800g.jpg,30,6x800g,Nuru,6x800g,1500,1
54,Velvex Dishwashing Liquid Lemon Burst 1x5L,460,Cleaning Products,Lemon burst dishwashing liquid - 1x5L,/images/products/velvex-liquid-1x5l.jpg,40,1x5L,Velvex,1x5L,450,1
55,Sunlight Hand Washing Powder Eden Yellow 6x1Kg,2010,Cleaning Products,Eden yellow hand washing powder - 6x1Kg,/images/products/sunlight-powder-6x1kg.jpg,25,6x1Kg,Sunlight,6x1Kg,2000,1
56,Vim Powder Lemon Fresh 6x1Kg,1010,Cleaning Products,Lemon fresh cleaning powder - 6x1Kg,/images/products/vim-powder-6x1kg.jpg,30,6x1Kg,Vim,6x1Kg,1000,1
57,Jik Bleach Regular 4x1.5L,3010,Cleaning Products,Regular bleach - 4x1.5L,/images/products/jik-bleach-4x1.5l.jpg,20,4x1.5L,Jik,4x1.5L,3000,1
58,Nuru Dish Washing Liquid Lemon Spark 4x5L,2510,Cleaning Products,Lemon spark dish washing liquid - 4x5L,/images/products/nuru-liquid-4x5l.jpg,25,4x5L,Nuru,4x5L,2500,1
