id,name,wholesalePrice,category,description,image,stock,unit,brand,size,price,wholesaleQuantity
89,Krackles Potato Crisps Assorted 48x30g,2210,Snacks,Assorted potato crisps - 48x30g,/images/products/krackles-assorted-48x30g.jpg,50,48x30g,Krackles,48x30g,2200,1
90,M&M'S Chocolate 3x200g,1810,Snacks,Chocolate candies - 3x200g,/images/products/mm-chocolate-3x200g.jpg,45,3x200g,M&M'S,3x200g,1800,1
91,Tropical Heat Kenyan Chevda Hot 6x340g,2010,Snacks,Hot Kenyan chevda - 6x340g,/images/products/tropical-chevda-6x340g.jpg,40,6x340g,Tropical Heat,6x340g,2000,1
92,Krackles Potato Crisps Bar-B-Que 12x125g,2110,Snacks,Bar-B-Que potato crisps - 12x125g,/images/products/krackles-bbq-12x125g.jpg,50,12x125g,Krackles,12x125g,2100,1
93,Haribo Happy Cherries 15x80g,2510,Snacks,Happy cherries candy - 15x80g,/images/products/haribo-cherries-15x80g.jpg,45,15x80g,Haribo,15x80g,2500,1
94,Haribo Starmix 15x80g,2210,Snacks,Starmix candy - 15x80g,/images/products/haribo-starmix-15x80g.jpg,45,15x80g,Haribo,15x80g,2200,1
95,Maryland Choc Chip Cookies 10x136g,2610,Snacks,Choc chip cookies - 10x136g,/images/products/maryland-choc-chip-10x136g.jpg,40,10x136g,Maryland,10x136g,2600,1
96,Mentos Monos Mint 20x135g,3210,Snacks,Mint candies - 20x135g,/images/products/mentos-mint-20x135g.jpg,35,20x135g,Mentos,20x135g,3200,1
97,Nestle Kitkat 4 Fingers White Chocolate 24x41.5g,4010,Snacks,White chocolate Kitkat - 24x41.5g,/images/products/kitkat-white-24x41.5g.jpg,30,24x41.5g,Nestle,24x41.5g,4000,1
136,Cheetos Puffs Cheese Flavored 12x85g,1510,Snacks,Cheese flavored puffs - 12x85g,/images/products/cheetos-puffs-12x85g.jpg,50,12x85g,Cheetos,12x85g,1500,1
137,Doritos Nacho Cheese 12x80g,1410,Snacks,Nacho cheese chips - 12x80g,/images/products/doritos-nacho-12x80g.jpg,50,12x80g,Doritos,12x80g,1400,1
